updated_jobtitle,sorted_skills
ADDITIONAL GENERAL MANAGER/DEPUTY GENERAL MANAGER(SALES & MKTG.),"('Bussiness idea', 'Developing Strategies')"
Account Manager - Sales - Cloud Services,"('AWS', 'AWSAzure pricing calculations', 'Azure', 'IT cloud sales', 'Microsoft Office Suite', 'Solution BOMs', 'cloud infrastructure', 'communication skills', 'discussing cloud solutions', 'engaging with CXOs', 'sales certifications', 'selling AWSAzure products')"
Accounts Manager,"('Account Management', 'Accountant Executive', 'Accounting Specialist', 'Accounts Head', 'Accounts Incharge', 'Accounts Manager', 'Accounts Officer', 'Analytical Skills', 'B2B', 'Business Planning', 'CRM Software', 'Communication', 'Customer Service', 'Education Industry', 'Excellent written', 'Experience in the insurance industry HealthTech Healthcare', 'GST', 'Key Account Management', 'Key Accounts', 'Logistics Expertise', 'Microsoft Office', 'Negotiation', 'Relationship Building', 'TDS', 'Taxation Manager', 'access control', 'account', 'account management', 'accounting', 'accounts payable', 'accounts receivable', 'balance sheet', 'bank reconciliation', 'branch accounting', 'branch banking', 'branch handling', 'branch management', 'branch operation', 'business', 'cash flow', 'customer', 'development', 'ethic', 'journal entries', 'loss', 'management', 'ms excel', 'process', 'profit', 'project', 'relationships', 'sales', 'service', 'tally', 'territory', 'verbal communication skills', 'voucher entry', 'work')"
Administrator,"('attention to detail', 'communication skills', 'customer service', 'leadership', 'order office supplies', 'organization')"
Agency Manager,"('b2c sales', 'banking', 'banking products', 'banking sales', 'bfsi sales', 'business development', 'channel sales', 'credit cards', 'cross selling', 'direct sales', 'insurance', 'insurance sales', 'life insurance', 'real estate sales', 'sales', 'team leading')"
Agency Manager  Senior Agency Manager,"('agency development', 'insurance', 'life', 'recruitment', 'sales')"
Alert  Required Business Manager in Reputed Insurance Company,"('agency sales', 'area sales manager', 'assistant branch manager', 'branch manager', 'business development manager', 'direct sales', 'distribution manager', 'insurance manager', 'manager sales', 'relationship manager', 'sales', 'sales executive', 'sales officer', 'store manager', 'territory manager', 'unit manager')"
Area Sales Manager,"('Architect base', 'Book Publication', 'MS excel', 'Sales Manager', 'building material industry', 'business loan', 'communication skills', 'dsa', 'lacr', 'power point', 'retail business', 'sales', 'time discipline')"
"Area Sales Manager ( Switches & Accessories, Lighting)","('Channel Development', 'Channel Sales', 'Dealer Management', 'Distribution Management', 'Team Management')"
Area Vehicle Service Manager,"('EV technology', 'after sales operations', 'automobile experience', 'collaboration skills', 'customer service', 'improvisation', 'operational cost control', 'scaling operations', 'team management', 'value improvement')"
Assistant Accounts Manager - Manufacturing Company Andheri,"('books of accounts', 'compliance', 'edpms', 'esic', 'idpms', 'pf', 'pt', 'tds gst')"
Assistant Area Sales Manager/ Area Sales Manager,"('account coordination', 'cashiers', 'sales administration', 'sales coordination')"
Assistant Manager - Sales,"('cold calling', 'outside sales', 'sales')"
Assistant Manager -Enterprise Business for Delhi,"('b2b', 'b2b sales', 'enterprise sales')"
Assistant Manager-Maintenance,"('breakdown maintenance', 'executive', 'front', 'guest relations', 'guest relationship management', 'guest satisfaction', 'hotel', 'logistics', 'logistics coordination', 'logistics management', 'maintenance', 'office', 'preventive maintenance', 'tpm')"
Assistant Manager/Manager,"('Chartered Accountant', 'Microsoft Office', 'accounting principles', 'analytical', 'assurance', 'audit', 'audit software', 'communication', 'data monitoring', 'financial reporting', 'internal auditing', 'presentation', 'risk management', 'tax laws', 'travel')"
Asst. Manager / Manager  Operations,"('Communication', 'Coordinating', 'Event Organization', 'Executive Placement', 'Liaising', 'Logistics Management', 'banking operations', 'communication skills', 'customer relationship', 'operations management')"
Asst. Manager Accounts,"('Accounting', 'Accounts Manager', 'Balancesheet', 'TDS', 'Taxation')"
Asst. Manager/Manager- Tele Sales - Real Estate Industry,"('Excellent communication skills', 'Team Handling', 'Team Leader', 'Team Manager', 'Tele Marketing', 'Telesales')"
Asst.manager quality -wire,"('Process Engineer', 'Process Manager', 'Quality Assurance', 'Quality Manager')"
Bancassurance Manager,"('agency sales', 'banca', 'banca channel', 'banca sales', 'bancassurance', 'banking', 'banking sales', 'bfsi sales', 'business', 'business development', 'business excellence', 'casa sales', 'customer relationship', 'direct sales', 'field sales', 'finance', 'general insurance', 'insurance', 'lead generation', 'li sales', 'life insurance', 'new business opportunities', 'sales', 'sourcing new business')"
Banking  Manager  In AUSTRALIA,"('cash flow', 'finance', 'finance control', 'finance manager', 'ledger')"
Bharat BankingSales Manager - Bharat Enterprises,"('channel management', 'coaching', 'communication', 'customer service', 'lead generation', 'mentoring', 'product launch', 'relationship management', 'risk management', 'sales', 'sales targets', 'training')"
Boutique Manager for Jewellery Store - Guwahati,"('Boutique Manager', 'Gems', 'Inventory Manager', 'Jewellery', 'Merchandising Manager', 'Staff Management', 'Store Manager')"
Branch Credit Manager,"('account management', 'accounting', 'accounts payable', 'accounts receivable', 'benefits analysis', 'benefits management', 'branch accounting', 'branch management', 'compensation benefits', 'finance', 'finance accounting', 'risk', 'risk management', 'taxation')"
